ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778176768207,2512576512,61698048,813809664,292003840,943501312,1073737728,854647,50091,6,6213525,54530,0,3916920,3469,875159040,51293184,5715026,2258708,9,2,0,0,0,70409,125121
1778176768503,2512576512,61698048,813813760,292003840,943501312,1073737728,854647,50091,6,6215185,54530,0,3916920,3469,875159040,51293184,5715984,2259378,9,2,0,0,0,70409,125121
1778176768800,2512576512,61698048,813813760,292003840,943521792,1073737728,854647,50091,6,6216850,54530,0,3916920,3469,875159040,51293184,5716398,2259630,9,2,0,0,0,70409,125123
1778176769091,2512576512,61698048,813813760,292003840,943521792,1073737728,854647,50091,6,6218508,54530,0,3916920,3469,875159040,51293184,5716596,2259670,9,2,0,0,0,70409,125123
1778176769387,2512576512,61698048,813813760,292003840,943521792,1073737728,854647,50091,6,6220165,54530,0,3916920,3469,875159040,51293184,5716966,2259892,9,2,0,0,0,70409,125123
1778176769684,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6221827,54530,0,3916920,3469,875159040,51293184,5717752,2260476,9,2,0,0,0,70409,125123
1778176769980,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6223485,54530,0,3916920,3469,875159040,51293184,5717950,2260516,9,2,0,0,0,70409,125123
1778176770276,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6225144,54530,0,3916920,3469,875159040,51293184,5718148,2260556,9,2,0,0,0,70409,125123
1778176770573,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6226803,54530,0,3916920,3469,875159040,51293184,5719302,2262486,9,2,0,0,0,70409,125123
1778176770866,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6228461,54530,0,3916920,3469,875159040,51293184,5721098,2264066,9,2,0,0,0,70409,125123
1778176771163,2512576512,61698048,813817856,292003840,943521792,1073737728,854647,50091,6,6230121,54530,0,3916920,3469,875159040,51293184,5722878,2264722,9,2,0,0,0,70409,125123
1778176771459,2512576512,61706240,813809664,292003840,943521792,1073737728,854647,50127,6,6231783,54530,0,3916920,3469,875159040,51330048,5723820,2265392,9,2,0,0,0,70409,125123
1778176771749,2512576512,61706240,813809664,292003840,943521792,1073737728,854647,50127,6,6233441,54530,0,3916920,3469,875159040,51330048,5724234,2265644,9,2,0,0,0,70409,125123
1778176772041,2512576512,61706240,813821952,292003840,943521792,1073737728,854647,50127,6,6235101,54530,0,3916920,3469,875159040,51330048,5724534,2265908,9,2,0,0,0,70409,125123
1778176772336,2512576512,61706240,813821952,292003840,943521792,1073737728,854647,50127,6,6236760,54530,0,3916920,3469,875159040,51330048,5724748,2265948,9,2,0,0,0,70409,125123
1778176772632,2512576512,61706240,813821952,292003840,943521792,1073737728,854647,50127,6,6238421,54530,0,3916920,3469,875159040,51330048,5725588,2266578,9,2,0,0,0,70409,125123
1778176772929,2512576512,61706240,813821952,292003840,943525888,1073737728,854647,50147,6,6240095,54530,0,3916920,3469,875159040,51350528,5725786,2266618,9,2,0,0,0,70409,125124
1778176773224,2512576512,61706240,813821952,292003840,943525888,1073737728,854647,50147,6,6241755,54530,0,3916920,3469,875159040,51350528,5725984,2266658,9,2,0,0,0,70409,125124
1778176773518,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6243416,54530,0,3916920,3469,875159040,51350528,5726926,2268548,9,2,0,0,0,70409,125124
1778176773814,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6245075,54530,0,3916920,3469,875159040,51350528,5727352,2269512,9,2,0,0,0,70409,125124
1778176774111,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6246735,54530,0,3916921,3469,875159040,51350528,5730714,2270784,9,2,0,0,0,70409,125124
1778176774407,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6248397,54530,0,3916921,3469,875159040,51350528,5731100,2270870,9,2,0,0,0,70409,125124
1778176774704,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6250060,54530,0,3916921,3469,875159040,51350528,5732188,2271802,9,2,0,0,0,70409,125124
1778176775000,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6251720,54530,0,3916921,3469,875159040,51350528,5732386,2271842,9,2,0,0,0,70409,125124
1778176775294,2512576512,61706240,813826048,292003840,943525888,1073737728,854647,50147,6,6253376,54530,0,3916921,3469,875159040,51350528,5732584,2271882,9,2,0,0,0,70409,125124
1778176775591,2512576512,61706240,813830144,292003840,943525888,1073737728,854647,50147,6,6255037,54530,0,3916921,3469,875159040,51350528,5733424,2272552,9,2,0,0,0,70409,125124
1778176775882,2512576512,61706240,813830144,292003840,943525888,1073737728,854647,50147,6,6256695,54530,0,3916921,3469,875159040,51350528,5733638,2272592,9,2,0,0,0,70409,125124
1778176776179,2512576512,61706240,813830144,292003840,943525888,1073737728,854647,50147,6,6258354,54530,0,3916921,3469,875159040,51350528,5733938,2272768,9,2,0,0,0,70409,125124
1778176776475,2512576512,61706240,813830144,292003840,943525888,1073737728,854647,50147,6,6260016,54530,0,3916921,3469,875159040,51387392,5734778,2274322,9,2,0,0,0,70409,125124
1778176776771,2512576512,61714432,813830144,292003840,943525888,1073737728,854647,50183,6,6261676,54530,0,3916921,3469,875159040,51387392,5735204,2275486,9,2,0,0,0,70409,125124
1778176777067,2512576512,61714432,813830144,292003840,943525888,1073737728,854647,50183,6,6263335,54530,0,3916921,3469,875159040,51387392,5738566,2276758,9,2,0,0,0,70409,125124
1778176777363,2512576512,61714432,813834240,292003840,943525888,1073737728,854647,50183,6,6264996,54530,0,3916921,3469,875159040,51387392,5738882,2276798,9,2,0,0,0,70409,125124
1778176777659,2512576512,61714432,813834240,292003840,943525888,1073737728,854647,50183,6,6266659,54530,0,3916921,3469,875159040,51387392,5740040,2277816,9,2,0,0,0,70409,125124
1778176777956,2512576512,61714432,813838336,292003840,943525888,1073737728,854647,50183,6,6268318,54530,0,3916921,3469,875159040,51411968,5740238,2277856,9,2,0,0,0,70409,125124
1778176778249,2512576512,61714432,813838336,292003840,943525888,1073737728,854647,50207,6,6269977,54530,0,3916921,3469,875159040,51411968,5740436,2277896,9,2,0,0,0,70409,125124
1778176778544,2512576512,61714432,813838336,292003840,943525888,1073737728,854647,50207,6,6271638,54530,0,3916921,3469,875159040,51411968,5741276,2278566,9,2,0,0,0,70409,125124
1778176778837,2512576512,61714432,813846528,292003840,943525888,1073737728,854647,50207,6,6273296,54530,0,3916921,3469,875159040,51411968,5741592,2278782,9,2,0,0,0,70409,125124
1778176779135,2512576512,61714432,813846528,292012032,943534080,1073737728,854647,50207,6,6274970,54530,0,3916921,3469,875159040,51411968,5741790,2278822,9,2,0,0,0,70411,125126
1778176779431,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6276628,54530,0,3916921,3469,875159040,51411968,5742058,2278908,9,2,0,0,0,70411,125126
1778176779727,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6278291,54530,0,3916921,3469,875159040,51411968,5743098,2280662,9,2,0,0,0,70411,125126
1778176780023,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6279949,54530,0,3916921,3469,875159040,51411968,5746460,2282858,9,2,0,0,0,70411,125126
1778176780319,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6281609,54530,0,3916921,3469,875159040,51411968,5746760,2283074,9,2,0,0,0,70411,125126
1778176780615,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6283274,54530,0,3916921,3469,875159040,51411968,5747918,2284009,9,2,0,0,0,70411,125126
1778176780911,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6284934,54530,0,3916921,3469,875159040,51411968,5748132,2284122,9,2,0,0,0,70411,125126
1778176781207,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50207,6,6286593,54530,0,3916921,3469,875159040,51424256,5748330,2284162,9,2,0,0,0,70411,125126
1778176781503,2512576512,61714432,813850624,292012032,943534080,1073737728,854647,50219,6,6288254,54530,0,3916921,3469,875159040,51424256,5749272,2284928,9,2,0,0,0,70411,125126
1778176781798,2512576512,61722624,813842432,292012032,943534080,1073737728,854647,50255,6,6289913,54530,0,3916921,3469,875159040,51461120,5749486,2285008,9,2,0,0,0,70411,125126
1778176782094,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50255,6,6291571,54530,0,3916921,3469,875159040,51461120,5749684,2285048,9,2,0,0,0,70412,125133
1778176782391,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50255,6,6293229,54530,0,3916921,3469,875159040,51461120,5749898,2285088,9,2,0,0,0,70412,125133
1778176782685,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50255,6,6294890,54530,0,3916921,3469,875159040,51461120,5750966,2286802,9,2,0,0,0,70412,125133
1778176782980,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50255,6,6296548,54530,0,3916921,3469,875159040,51461120,5754430,2289134,9,2,0,0,0,70412,125133
1778176783276,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50255,6,6298207,54530,0,3916921,3469,875159040,51493888,5754644,2289174,9,2,0,0,0,70412,125133
1778176783573,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50287,6,6299870,54530,0,3916921,3469,875159040,51493888,5755818,2290056,9,2,0,0,0,70412,125133
1778176783864,2512576512,61722624,813854720,292016128,943575040,1073737728,854647,50287,6,6301530,54530,0,3916921,3469,875159040,51493888,5756032,2290096,9,2,0,0,0,70412,125133
1778176784160,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6303194,54530,0,3916921,3469,875159040,51493888,5756230,2290136,9,2,0,0,0,70412,125133
1778176784454,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6304851,54530,0,3916921,3469,875159040,51493888,5757188,2290902,9,2,0,0,0,70412,125133
1778176784744,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6306513,54530,0,3916921,3469,875159040,51493888,5757402,2290982,9,2,0,0,0,70412,125133
1778176785034,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6308185,54530,0,3916921,3469,875159040,51493888,5757600,2291022,9,2,0,0,0,70412,125133
1778176785331,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6309843,54530,0,3916921,3469,875159040,51493888,5757798,2291062,9,2,0,0,0,70412,125133
1778176785627,2512576512,61722624,813858816,292016128,943575040,1073737728,854647,50287,6,6311503,54530,0,3916921,3469,875159040,51493888,5758952,2292952,9,2,0,0,0,70412,125133
1778176785923,2512576512,61722624,813862912,292016128,943575040,1073737728,854647,50287,6,6313163,54530,0,3916921,3469,875159040,51493888,5774588,2305636,9,2,0,0,0,70412,125133
1778176786219,2512576512,61722624,813862912,292016128,943575040,1073737728,854647,50287,6,6314825,54530,0,3916922,3469,875159040,51493888,5774904,2305676,9,2,0,0,0,70412,125133
1778176786514,2512576512,61722624,813862912,292016128,943575040,1073737728,854647,50287,6,6316489,54530,0,3916922,3469,875159040,51493888,5775941,2306413,9,2,0,0,0,70412,125133
1778176786810,2512576512,61722624,813867008,292016128,943575040,1073737728,854647,50287,6,6318156,54530,0,3916922,3469,875159040,51493888,5776457,2306665,9,2,0,0,0,70412,125133
1778176787107,2512576512,61730816,813862912,292016128,943575040,1073737728,854647,50323,6,6319815,54530,0,3916922,3469,875159040,51530752,5811101,2336143,9,2,0,0,0,70412,125133
1778176787401,2512318464,61730816,813862912,292016128,944939008,1073737728,854647,50323,6,6321530,54530,0,3917539,3469,875159040,51530752,5818825,2342603,9,2,0,0,0,70412,125133
1778176787697,2512318464,61730816,813862912,292016128,943575040,1073737728,854647,50323,6,6323615,54530,0,3917601,3469,875159040,51530752,5819677,2343331,9,2,0,0,0,70412,125133
1778176787993,2512318464,61730816,814002176,292036608,943714304,1073737728,854647,50323,6,6325278,54530,0,3917601,3469,875159040,51530752,5857189,2375157,9,2,0,0,0,70417,125166
1778176788285,2512318464,61730816,814002176,292036608,943714304,1073737728,854647,50323,6,6326936,54530,0,3917601,3469,875159040,51530752,5874073,2389411,9,2,0,0,0,70417,125166
1778176788580,2512318464,61730816,814002176,292036608,943714304,1073737728,854647,50343,6,6328600,54530,0,3917601,3469,875159040,51551232,5875157,2391255,9,2,0,0,0,70417,125166
