ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778298731669,2576031744,52756480,756195328,233500672,943628288,1073737728,834922,39619,6,2576037,48165,0,747257,3377,854960640,40569856,1419336,1043362,7,2,0,0,0,56129,126619
1778298731964,2576031744,52756480,756199424,233500672,943710208,1073737728,834922,39619,6,2577667,48165,0,747257,3377,854960640,40569856,1419644,1043650,7,2,0,0,0,56129,126619
1778298732258,2575712256,52756480,756199424,233500672,943710208,1073737728,834922,39619,6,2579313,48165,0,747257,3377,854960640,40569856,1419842,1043690,7,2,0,0,0,56129,126619
1778298732550,2575712256,52756480,756199424,233500672,943710208,1073737728,834922,39619,6,2580943,48165,0,747257,3377,854960640,40569856,1420126,1043776,7,2,0,0,0,56129,126619
1778298732848,2575544320,52756480,756199424,233504768,943607808,1073737728,834922,39619,6,2583089,48165,0,748067,3377,854960640,40569856,1421154,1044400,7,2,0,0,0,56129,126620
1778298733142,2575544320,52756480,756199424,233500672,943685632,1073737728,834922,39619,6,2584720,48165,0,748067,3377,854960640,40569856,1423956,1045410,7,2,0,0,0,56129,126620
1778298733436,2575544320,52756480,756199424,233500672,943685632,1073737728,834922,39619,6,2586350,48165,0,748067,3377,854960640,40569856,1424784,1045758,7,2,0,0,0,56129,126620
1778298733727,2575286272,52756480,756199424,233504768,943853568,1073737728,834922,39619,6,2588494,48165,0,748875,3377,854960640,40569856,1426200,1046498,7,2,0,0,0,56129,126620
1778298734023,2575286272,52756480,756207616,233500672,943714304,1073737728,834922,39619,6,2590129,48165,0,748875,3377,854960640,40569856,1428400,1047500,7,2,0,0,0,56129,126621
1778298734315,2575286272,52756480,756207616,233500672,943714304,1073737728,834922,39619,6,2591760,48165,0,748875,3377,854960640,40569856,1428598,1048464,7,2,0,0,0,56129,126621
